Year,Week,sum(NumberLethalAccidents)
2012,1,1
2012,26,0
2012,27,4
2012,28,4
2012,29,6
2012,30,1
2012,31,4
2012,32,6
2012,33,0
2012,34,8
2012,35,3
2012,36,1
2012,37,4
2012,38,7
2012,39,7
2012,40,2
2012,41,2
2012,42,4
2012,43,7
2012,44,3
2012,45,2
2012,46,4
2012,47,3
2012,48,1
2012,49,1
2012,50,5
2012,51,5
2012,52,9
2013,1,8
2013,2,3
2013,3,4
2013,4,4
2013,5,9
2013,6,4
2013,7,4
2013,8,5
2013,9,5
2013,10,5
2013,11,2
2013,12,2
2013,13,0
2013,14,5
2013,15,0
2013,16,3
2013,17,2
2013,18,2
2013,19,3
2013,20,5
2013,21,1
2013,22,4
2013,23,3
2013,24,7
2013,25,0
2013,26,2
2013,27,4
2013,28,3
2013,29,1
2013,30,8
2013,31,6
2013,32,5
2013,33,8
2013,34,5
2013,35,4
2013,36,4
2013,37,4
2013,38,5
2013,39,4
2013,40,3
2013,41,4
2013,42,4
2013,43,3
2013,44,5
2013,45,5
2013,46,4
2013,47,4
2013,48,7
2013,49,1
2013,50,3
2013,51,5
2013,52,3
2014,1,5
2014,2,7
2014,3,3
2014,4,2
2014,5,2
2014,6,4
2014,7,2
2014,8,1
2014,9,0
2014,10,5
2014,11,2
2014,12,3
2014,13,3
2014,14,5
2014,15,2
2014,16,2
2014,17,3
2014,18,5
2014,19,5
2014,20,1
2014,21,8
2014,22,1
2014,23,7
2014,24,6
2014,25,0
2014,26,3
2014,27,5
2014,28,4
2014,29,5
2014,30,6
2014,31,5
2014,32,1
2014,33,3
2014,34,2
2014,35,4
2014,36,8
2014,37,1
2014,38,4
2014,39,5
2014,40,1
2014,41,2
2014,42,2
2014,43,4
2014,44,4
2014,45,5
2014,46,3
2014,47,3
2014,48,4
2014,49,4
2014,50,2
2014,51,2
2014,52,2
2015,1,2
2015,2,4
2015,3,3
2015,4,3
2015,5,1
2015,6,2
2015,7,3
2015,8,5
2015,9,2
2015,10,2
2015,11,1
2015,12,3
2015,13,1
2015,14,3
2015,15,1
2015,16,3
2015,17,5
2015,18,2
2015,19,6
2015,20,7
2015,21,3
2015,22,7
2015,23,5
2015,24,2
2015,25,2
2015,26,5
2015,27,5
2015,28,2
2015,29,2
2015,30,1
2015,31,3
2015,32,5
2015,33,2
2015,34,6
2015,35,3
2015,36,1
2015,37,3
2015,38,3
2015,39,2
2015,40,2
2015,41,4
2015,42,6
2015,43,4
2015,44,4
2015,45,5
2015,46,3
2015,47,3
2015,48,4
2015,49,8
2015,50,2
2015,51,5
2015,52,2
2015,53,0
2016,1,4
2016,2,4
2016,3,3
2016,4,1
2016,5,3
2016,6,5
2016,7,1
2016,8,4
2016,9,2
2016,10,2
2016,11,2
2016,12,3
2016,13,0
2016,14,4
2016,15,3
2016,16,1
2016,17,1
2016,18,2
2016,19,4
2016,20,3
2016,21,2
2016,22,0
2016,23,3
2016,24,7
2016,25,0
2016,26,2
2016,27,3
2016,28,1
2016,29,0
2016,30,1
2016,31,2
2016,32,2
2016,33,1
2016,34,3
2016,35,3
2016,36,2
2016,37,3
2016,38,1
2016,39,4
2016,40,4
2016,41,5
2016,42,1
2016,43,0
2016,44,0
2016,45,2
2016,46,3
2016,47,1
2016,48,1
2016,49,3
2016,50,1
2016,51,2
2016,52,2
2016,53,0
2017,1,1
2017,52,3
