ContributingFactor,NumberAccidents,NumberLethalAccidents,PercentageNumberDeaths,PercentageNumberLethalAccidents
Accelerator Defective,431,0,0.0,0.0
Aggressive Driving/Road Rage,3303,6,0.5139186295503212,0.1813236627379873
Alcohol Involvement,7807,32,0.9576682859125607,0.40821533358846795
Animals Action,500,0,0.0,0.0
Backing Unsafely,28695,19,0.6447453255963894,0.06616981263495159
Brakes Defective,2529,0,0.0,0.0
Cell Phone (hand-held),127,0,0.0,0.0
Cell Phone (hands-free),231,0,0.0,0.0
Driver Inattention/Distraction,127004,114,0.36278081360048575,0.08968045438096886
Driver Inexperience,13132,10,0.40266377574725104,0.07609191903819815
Driverless/Runaway Vehicle,70,0,0.0,0.0
Drugs (Illegal),569,3,1.054481546572935,0.5244755244755245
Failure to Keep Right,2021,0,0.0,0.0
Failure to Yield Right-of-Way,44463,91,0.5170544575097991,0.2042465322978857
Fatigued/Drowsy,54844,3,0.021252479455936526,0.005469761336080369
Fell Asleep,1562,8,1.2084592145015105,0.5095541401273885
Following Too Closely,8297,15,0.5215973920130399,0.18046198267564964
Glare,2018,1,0.10162601626016261,0.04952947003467063
Headlights Defective,75,0,0.0,0.0
Illness,2624,3,0.6144393241167435,0.11419870574800152
Lane Marking Improper/Inadequate,503,0,0.0,0.0
Lost Consciousness,22456,9,0.34944670937682004,0.040062319163142665
Obstruction/Debris,1848,2,0.5755395683453237,0.10810810810810811
Other Electronic Device,2484,3,0.4716981132075472,0.12062726176115801
Other Lighting Defects,83,0,0.0,0.0
Other Vehicular,34326,13,0.1885560954383929,0.037857829290311305
Outside Car Distraction,11529,5,0.16406890894175555,0.04335009537020982
Oversized Vehicle,6195,0,0.0,0.0
Passenger Distraction,5102,55,1.5367727771679474,1.0665115377157262
Passing or Lane Usage Improper,4069,4,0.60790273556231,0.09820770930518045
Pavement Defective,1074,4,1.1661807580174928,0.3710575139146568
Pavement Slippery,10141,7,0.2440299808262158,0.06897910918407568
Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,776,6,1.2668918918918919,0.7672634271099744
Physical Disability,10346,32,0.5023153598618633,0.30834457506263246
Prescription Medication,17809,9,0.2493074792243767,0.05051071949713772
Reaction to Other Uninvolved Vehicle,2976,0,0.0,0.0
Shoulders Defective/Improper,46,0,0.0,0.0
Steering Failure,861,0,0.0,0.0
Tire Failure/Inadequate,877,1,0.3412969283276451,0.11389521640091116
Tow Hitch Defective,90,1,9.090909090909092,1.098901098901099
Traffic Control Device Improper/Non-Working,441,0,0.0,0.0
Traffic Control Disregarded,13715,132,1.8501500949580345,0.9532750776341445
Turning Improperly,25828,5,0.14549687181725593,0.01935508845275423
Unsafe Lane Changing,3460,0,0.0,0.0
Unsafe Speed,2477,9,0.7380073800738007,0.36202735317779566
Unspecified,793382,751,0.4005750025986669,0.09456854204522416
View Obstructed/Limited,4139,9,0.6369426751592357,0.21697203471552554
Windshield Inadequate,51,0,0.0,0.0
