Borough,Year,Week,NumberAccidents,NumberLethalAccidents,sum(NumberInjured),sum(NumberKilled),AvgNumberLethalAccidents
BOROUGH_NOT_SPECIFIED,2012,1,94,0,16,0,0.0
BRONX,2012,1,59,0,18,0,0.0
BROOKLYN,2012,1,122,1,32,1,0.00819672131147541
MANHATTAN,2012,1,83,0,6,0,0.0
QUEENS,2012,1,97,0,16,0,0.0
STATEN ISLAND,2012,1,27,0,10,0,0.0
BOROUGH_NOT_SPECIFIED,2012,26,118,0,38,0,0.0
BRONX,2012,26,39,0,11,0,0.0
BROOKLYN,2012,26,135,0,47,0,0.0
MANHATTAN,2012,26,119,0,36,0,0.0
QUEENS,2012,26,101,0,26,0,0.0
STATEN ISLAND,2012,26,26,0,8,0,0.0
BOROUGH_NOT_SPECIFIED,2012,27,846,0,291,0,0.0
BRONX,2012,27,413,0,140,0,0.0
BROOKLYN,2012,27,908,3,323,3,0.003303964757709251
MANHATTAN,2012,27,750,0,143,0,0.0
QUEENS,2012,27,750,1,228,1,0.0013333333333333333
STATEN ISLAND,2012,27,176,0,35,0,0.0
BOROUGH_NOT_SPECIFIED,2012,28,903,1,279,1,0.0011074197120708748
BRONX,2012,28,362,3,124,3,0.008287292817679558
BROOKLYN,2012,28,912,0,319,0,0.0
MANHATTAN,2012,28,814,1,158,1,0.0012285012285012285
QUEENS,2012,28,672,0,192,0,0.0
STATEN ISLAND,2012,28,169,0,34,0,0.0
BOROUGH_NOT_SPECIFIED,2012,29,923,0,293,0,0.0
BRONX,2012,29,355,1,139,1,0.0028169014084507044
BROOKLYN,2012,29,849,2,294,2,0.002355712603062426
MANHATTAN,2012,29,842,0,160,0,0.0
QUEENS,2012,29,758,3,204,7,0.00395778364116095
STATEN ISLAND,2012,29,159,0,41,0,0.0
BOROUGH_NOT_SPECIFIED,2012,30,810,0,227,0,0.0
BRONX,2012,30,373,0,88,0,0.0
BROOKLYN,2012,30,830,0,275,0,0.0
MANHATTAN,2012,30,883,0,162,0,0.0
QUEENS,2012,30,737,0,215,0,0.0
STATEN ISLAND,2012,30,187,1,62,1,0.0053475935828877
BOROUGH_NOT_SPECIFIED,2012,31,928,1,238,1,0.0010775862068965517
BRONX,2012,31,400,0,114,0,0.0
BROOKLYN,2012,31,850,1,287,1,0.001176470588235294
MANHATTAN,2012,31,850,2,165,2,0.002352941176470588
QUEENS,2012,31,721,0,193,0,0.0
STATEN ISLAND,2012,31,178,1,34,1,0.0056179775280898875
BOROUGH_NOT_SPECIFIED,2012,32,813,1,223,1,0.0012300123001230013
BRONX,2012,32,391,1,111,1,0.0025575447570332483
BROOKLYN,2012,32,911,3,281,3,0.003293084522502744
MANHATTAN,2012,32,835,2,163,2,0.0023952095808383233
QUEENS,2012,32,741,0,217,0,0.0
STATEN ISLAND,2012,32,186,0,64,0,0.0
BOROUGH_NOT_SPECIFIED,2012,33,896,1,269,1,0.0011160714285714285
BRONX,2012,33,349,0,109,0,0.0
BROOKLYN,2012,33,887,0,289,0,0.0
MANHATTAN,2012,33,816,0,143,0,0.0
QUEENS,2012,33,675,0,200,0,0.0
STATEN ISLAND,2012,33,197,0,39,0,0.0
BOROUGH_NOT_SPECIFIED,2012,34,848,2,252,2,0.0023584905660377358
BRONX,2012,34,348,3,120,3,0.008620689655172414
BROOKLYN,2012,34,818,2,253,2,0.0024449877750611247
MANHATTAN,2012,34,755,1,134,1,0.0013245033112582781
QUEENS,2012,34,631,2,240,2,0.003169572107765452
STATEN ISLAND,2012,34,179,0,42,0,0.0
BOROUGH_NOT_SPECIFIED,2012,35,924,3,282,3,0.003246753246753247
BRONX,2012,35,366,2,90,2,0.00546448087431694
BROOKLYN,2012,35,951,0,340,0,0.0
MANHATTAN,2012,35,756,0,152,0,0.0
QUEENS,2012,35,742,0,203,0,0.0
STATEN ISLAND,2012,35,200,1,59,2,0.005
BOROUGH_NOT_SPECIFIED,2012,36,884,0,319,0,0.0
BRONX,2012,36,351,0,95,0,0.0
BROOKLYN,2012,36,963,1,331,1,0.0010384215991692627
MANHATTAN,2012,36,812,0,159,0,0.0
QUEENS,2012,36,701,0,217,0,0.0
STATEN ISLAND,2012,36,183,0,45,0,0.0
BOROUGH_NOT_SPECIFIED,2012,37,918,3,223,3,0.0032679738562091504
BRONX,2012,37,390,0,128,0,0.0
BROOKLYN,2012,37,912,1,306,1,0.0010964912280701754
MANHATTAN,2012,37,843,2,143,2,0.002372479240806643
QUEENS,2012,37,818,1,226,1,0.0012224938875305623
STATEN ISLAND,2012,37,181,0,43,0,0.0
BOROUGH_NOT_SPECIFIED,2012,38,876,1,270,1,0.001141552511415525
BRONX,2012,38,360,1,107,1,0.002777777777777778
BROOKLYN,2012,38,804,2,285,2,0.0024875621890547263
MANHATTAN,2012,38,866,3,185,3,0.003464203233256351
QUEENS,2012,38,706,1,195,1,0.00141643059490085
STATEN ISLAND,2012,38,211,0,56,0,0.0
BOROUGH_NOT_SPECIFIED,2012,39,848,2,266,2,0.0023584905660377358
BRONX,2012,39,357,1,102,1,0.0028011204481792717
BROOKLYN,2012,39,855,2,272,2,0.0023391812865497076
MANHATTAN,2012,39,812,2,150,2,0.0024630541871921183
QUEENS,2012,39,750,2,222,2,0.0026666666666666666
STATEN ISLAND,2012,39,193,0,49,0,0.0
BOROUGH_NOT_SPECIFIED,2012,40,867,0,258,0,0.0
BRONX,2012,40,386,0,114,0,0.0
BROOKLYN,2012,40,845,1,272,1,0.001183431952662722
MANHATTAN,2012,40,822,0,162,0,0.0
QUEENS,2012,40,747,0,239,0,0.0
STATEN ISLAND,2012,40,210,1,55,1,0.004761904761904762
BOROUGH_NOT_SPECIFIED,2012,41,894,1,231,1,0.0011185682326621924
BRONX,2012,41,362,0,111,0,0.0
BROOKLYN,2012,41,891,0,290,0,0.0
MANHATTAN,2012,41,815,1,146,1,0.001226993865030675
QUEENS,2012,41,736,1,231,1,0.001358695652173913
STATEN ISLAND,2012,41,202,0,53,0,0.0
BOROUGH_NOT_SPECIFIED,2012,42,1023,4,292,4,0.0039100684261974585
BRONX,2012,42,365,1,88,1,0.0027397260273972603
BROOKLYN,2012,42,929,0,304,0,0.0
MANHATTAN,2012,42,863,0,158,0,0.0
QUEENS,2012,42,797,2,245,2,0.002509410288582183
STATEN ISLAND,2012,42,228,1,58,1,0.0043859649122807015
BOROUGH_NOT_SPECIFIED,2012,43,849,0,201,0,0.0
BRONX,2012,43,380,2,120,2,0.005263157894736842
BROOKLYN,2012,43,901,2,307,2,0.0022197558268590455
MANHATTAN,2012,43,741,1,131,1,0.001349527665317139
QUEENS,2012,43,637,2,186,2,0.0031397174254317113
STATEN ISLAND,2012,43,152,0,44,0,0.0
BOROUGH_NOT_SPECIFIED,2012,44,533,0,154,0,0.0
BRONX,2012,44,251,0,56,0,0.0
BROOKLYN,2012,44,661,0,164,0,0.0
MANHATTAN,2012,44,501,1,93,1,0.001996007984031936
QUEENS,2012,44,604,1,158,1,0.0016556291390728477
STATEN ISLAND,2012,44,104,1,35,1,0.009615384615384616
BOROUGH_NOT_SPECIFIED,2012,45,833,0,166,0,0.0
BRONX,2012,45,393,0,92,0,0.0
BROOKLYN,2012,45,955,0,267,0,0.0
MANHATTAN,2012,45,731,1,149,1,0.0013679890560875513
QUEENS,2012,45,802,0,227,0,0.0
STATEN ISLAND,2012,45,205,1,46,1,0.004878048780487805
BOROUGH_NOT_SPECIFIED,2012,46,1028,0,228,0,0.0
BRONX,2012,46,330,0,111,0,0.0
BROOKLYN,2012,46,975,3,275,3,0.003076923076923077
MANHATTAN,2012,46,828,0,129,0,0.0
QUEENS,2012,46,744,1,183,1,0.0013440860215053765
STATEN ISLAND,2012,46,197,0,52,0,0.0
BOROUGH_NOT_SPECIFIED,2012,47,880,1,223,1,0.0011363636363636363
BRONX,2012,47,326,0,113,0,0.0
BROOKLYN,2012,47,844,1,273,1,0.001184834123222749
MANHATTAN,2012,47,676,1,135,1,0.0014792899408284023
QUEENS,2012,47,767,1,199,1,0.001303780964797914
STATEN ISLAND,2012,47,190,0,57,0,0.0
BOROUGH_NOT_SPECIFIED,2012,48,806,1,230,1,0.0012406947890818859
BRONX,2012,48,341,0,110,0,0.0
BROOKLYN,2012,48,847,1,212,1,0.0011806375442739079
MANHATTAN,2012,48,798,0,150,0,0.0
QUEENS,2012,48,708,0,193,0,0.0
STATEN ISLAND,2012,48,183,0,39,0,0.0
BOROUGH_NOT_SPECIFIED,2012,49,951,0,238,0,0.0
BRONX,2012,49,346,0,107,0,0.0
BROOKLYN,2012,49,1039,1,365,1,9.624639076034649E-4
MANHATTAN,2012,49,853,0,140,0,0.0
QUEENS,2012,49,826,0,252,0,0.0
STATEN ISLAND,2012,49,197,0,56,0,0.0
BOROUGH_NOT_SPECIFIED,2012,50,897,2,234,2,0.002229654403567447
BRONX,2012,50,389,1,135,1,0.002570694087403599
BROOKLYN,2012,50,933,3,289,4,0.003215434083601286
MANHATTAN,2012,50,822,1,158,1,0.0012165450121654502
QUEENS,2012,50,726,0,211,0,0.0
STATEN ISLAND,2012,50,195,0,39,0,0.0
BOROUGH_NOT_SPECIFIED,2012,51,1008,1,264,1,9.92063492063492E-4
BRONX,2012,51,385,0,123,0,0.0
BROOKLYN,2012,51,949,1,290,1,0.001053740779768177
MANHATTAN,2012,51,827,1,132,1,0.0012091898428053204
QUEENS,2012,51,807,1,211,1,0.0012391573729863693
STATEN ISLAND,2012,51,214,2,51,2,0.009345794392523364
BOROUGH_NOT_SPECIFIED,2012,52,764,2,220,2,0.002617801047120419
BRONX,2012,52,342,1,102,1,0.0029239766081871343
BROOKLYN,2012,52,822,1,282,1,0.0012165450121654502
MANHATTAN,2012,52,603,1,125,1,0.001658374792703151
QUEENS,2012,52,634,5,177,5,0.007886435331230283
STATEN ISLAND,2012,52,173,1,39,1,0.005780346820809248
BOROUGH_NOT_SPECIFIED,2013,1,843,1,214,1,0.0011862396204033216
BRONX,2013,1,399,3,130,3,0.007518796992481203
BROOKLYN,2013,1,875,3,270,5,0.0034285714285714284
MANHATTAN,2013,1,677,1,114,1,0.0014771048744460858
QUEENS,2013,1,690,1,195,1,0.0014492753623188406
STATEN ISLAND,2013,1,153,0,38,0,0.0
BOROUGH_NOT_SPECIFIED,2013,2,818,0,239,0,0.0
BRONX,2013,2,343,0,110,0,0.0
BROOKLYN,2013,2,881,0,293,0,0.0
MANHATTAN,2013,2,668,0,111,0,0.0
QUEENS,2013,2,685,3,219,3,0.004379562043795621
STATEN ISLAND,2013,2,189,0,41,0,0.0
