Borough,Year,Week,NumberAccidents,NumberLethalAccidents,sum(NumberInjured),sum(NumberKilled),AvgNumberLethalAccidents
BOROUGH_NOT_SPECIFIED,2012,1,94,0,32,0,0.0
BRONX,2012,1,59,0,36,0,0.0
BROOKLYN,2012,1,122,1,64,2,0.00819672131147541
MANHATTAN,2012,1,83,0,12,0,0.0
QUEENS,2012,1,97,0,32,0,0.0
STATEN ISLAND,2012,1,27,0,20,0,0.0
BOROUGH_NOT_SPECIFIED,2012,26,118,0,76,0,0.0
BRONX,2012,26,39,0,22,0,0.0
BROOKLYN,2012,26,135,0,94,0,0.0
MANHATTAN,2012,26,119,0,72,0,0.0
QUEENS,2012,26,101,0,52,0,0.0
STATEN ISLAND,2012,26,26,0,16,0,0.0
BOROUGH_NOT_SPECIFIED,2012,27,846,0,582,0,0.0
BRONX,2012,27,413,0,280,0,0.0
BROOKLYN,2012,27,908,3,646,6,0.003303964757709251
MANHATTAN,2012,27,750,0,286,0,0.0
QUEENS,2012,27,750,1,456,2,0.0013333333333333333
STATEN ISLAND,2012,27,176,0,70,0,0.0
BOROUGH_NOT_SPECIFIED,2012,28,903,1,558,2,0.0011074197120708748
BRONX,2012,28,362,3,248,6,0.008287292817679558
BROOKLYN,2012,28,912,0,638,0,0.0
MANHATTAN,2012,28,814,1,316,2,0.0012285012285012285
QUEENS,2012,28,672,0,384,0,0.0
STATEN ISLAND,2012,28,169,0,68,0,0.0
BOROUGH_NOT_SPECIFIED,2012,29,923,0,586,0,0.0
BRONX,2012,29,355,1,278,2,0.0028169014084507044
BROOKLYN,2012,29,849,2,588,4,0.002355712603062426
MANHATTAN,2012,29,842,0,320,0,0.0
QUEENS,2012,29,758,3,408,14,0.00395778364116095
STATEN ISLAND,2012,29,159,0,82,0,0.0
BOROUGH_NOT_SPECIFIED,2012,30,810,0,454,0,0.0
BRONX,2012,30,373,0,176,0,0.0
BROOKLYN,2012,30,830,0,550,0,0.0
MANHATTAN,2012,30,883,0,324,0,0.0
QUEENS,2012,30,737,0,430,0,0.0
STATEN ISLAND,2012,30,187,1,124,2,0.0053475935828877
BOROUGH_NOT_SPECIFIED,2012,31,928,1,476,2,0.0010775862068965517
BRONX,2012,31,400,0,228,0,0.0
BROOKLYN,2012,31,850,1,574,2,0.001176470588235294
MANHATTAN,2012,31,850,2,330,4,0.002352941176470588
QUEENS,2012,31,721,0,386,0,0.0
STATEN ISLAND,2012,31,178,1,68,2,0.0056179775280898875
BOROUGH_NOT_SPECIFIED,2012,32,813,1,446,2,0.0012300123001230013
BRONX,2012,32,391,1,222,2,0.0025575447570332483
BROOKLYN,2012,32,911,3,562,6,0.003293084522502744
MANHATTAN,2012,32,835,2,326,4,0.0023952095808383233
