ContributingFactor,NumberAccidents,NumberLethalAccidents,PercentageNumberDeaths,PercentageNumberLethalAccidents
Accelerator Defective,431,0,0.0,0.0
Aggressive Driving/Road Rage,3303,6,0.5181347150259068,0.1813236627379873
Alcohol Involvement,7807,32,0.9550561797752809,0.40821533358846795
Animals Action,500,0,0.0,0.0
Backing Unsafely,28695,19,0.6495615459564794,0.06616981263495159
Brakes Defective,2529,0,0.0,0.0
Cell Phone (hand-held),127,0,0.0,0.0
Cell Phone (hands-free),231,0,0.0,0.0
Driver Inattention/Distraction,127004,114,0.3645721638430195,0.08968045438096886
Driver Inexperience,13132,10,0.40548970679975044,0.07609191903819815
Driverless/Runaway Vehicle,70,0,0.0,0.0
Drugs (Illegal),569,3,1.079136690647482,0.5244755244755245
Failure to Keep Right,2021,0,0.0,0.0
Failure to Yield Right-of-Way,44463,91,0.5160711280641723,0.2042465322978857
Fatigued/Drowsy,54844,3,0.02124344993626965,0.005469761336080369
Fell Asleep,1562,8,1.21765601217656,0.5095541401273885
Following Too Closely,8297,15,0.5460750853242321,0.18046198267564964
Glare,2018,1,0.10224948875255625,0.04952947003467063
Headlights Defective,75,0,0.0,0.0
Illness,2624,3,0.46801872074883,0.11419870574800152
Lane Marking Improper/Inadequate,503,0,0.0,0.0
Lost Consciousness,22456,9,0.34965034965034963,0.040062319163142665
Obstruction/Debris,1848,2,0.5780346820809248,0.10810810810810811
Other Electronic Device,2484,3,0.4716981132075472,0.12062726176115801
Other Lighting Defects,83,0,0.0,0.0
Other Vehicular,34326,13,0.18953200174952617,0.037857829290311305
Outside Car Distraction,11529,5,0.1643115346697338,0.04335009537020982
Oversized Vehicle,6195,0,0.0,0.0
Passenger Distraction,5102,55,1.5101592531576058,1.0665115377157262
Passing or Lane Usage Improper,4069,4,0.6420545746388443,0.09820770930518045
Pavement Defective,1074,4,1.1695906432748537,0.3710575139146568
Pavement Slippery,10141,7,0.24544179523141654,0.06897910918407568
Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,776,6,1.06951871657754,0.7672634271099744
Physical Disability,10346,32,0.5025914873566829,0.30834457506263246
Prescription Medication,17809,9,0.24923843810578786,0.05051071949713772
Reaction to Other Uninvolved Vehicle,2976,0,0.0,0.0
Shoulders Defective/Improper,46,0,0.0,0.0
Steering Failure,861,0,0.0,0.0
Tire Failure/Inadequate,877,1,0.3401360544217687,0.11389521640091116
Tow Hitch Defective,90,1,9.090909090909092,1.098901098901099
Traffic Control Device Improper/Non-Working,441,0,0.0,0.0
Traffic Control Disregarded,13715,132,1.8612104030568222,0.9532750776341445
Turning Improperly,25828,5,0.1463271875914545,0.01935508845275423
Unsafe Lane Changing,3460,0,0.0,0.0
Unsafe Speed,2477,9,0.7081038552321007,0.36202735317779566
Unspecified,793382,750,0.4061632672189792,0.09444273747941148
View Obstructed/Limited,4139,9,0.6433166547533953,0.21697203471552554
Windshield Inadequate,51,0,0.0,0.0
